Area,Item,Year,Unit,Value
Afghanistan,Coal,2010,kilotonnes,67.1909
Afghanistan,Coal,2015,kilotonnes,30.7229
Afghanistan,Coal,2020,kilotonnes,18.9033
Albania,Coal,2010,NULL,NULL
Albania,Coal,2015,kilotonnes,20.4828
Albania,Coal,2020,kilotonnes,26.0232
Algeria,Coal,2010,NULL,NULL
Algeria,Coal,2015,NULL,NULL
Algeria,Coal,2020,NULL,NULL
American Samoa,Coal,2010,NULL,NULL
American Samoa,Coal,2015,NULL,NULL
American Samoa,Coal,2020,NULL,NULL
Andorra,Coal,2010,kilotonnes,0.0018
Andorra,Coal,2015,kilotonnes,0.0059
Andorra,Coal,2020,kilotonnes,0.0045
Angola,Coal,2010,NULL,NULL
Angola,Coal,2015,NULL,NULL
Angola,Coal,2020,NULL,NULL
Anguilla,Coal,2010,NULL,NULL
Anguilla,Coal,2015,NULL,NULL
Anguilla,Coal,2020,NULL,NULL
Antigua and Barbuda,Coal,2010,NULL,NULL
Antigua and Barbuda,Coal,2015,NULL,NULL
Antigua and Barbuda,Coal,2020,NULL,NULL
Argentina,Coal,2010,kilotonnes,14.2809
Argentina,Coal,2015,kilotonnes,11.0602
Argentina,Coal,2020,kilotonnes,23.3453
Armenia,Coal,2010,kilotonnes,1.6398
Armenia,Coal,2015,kilotonnes,0.1226
Armenia,Coal,2020,NULL,NULL
Aruba,Coal,2010,NULL,NULL
Aruba,Coal,2015,NULL,NULL
Aruba,Coal,2020,NULL,NULL
Australia,Coal,2010,kilotonnes,174.3701
Australia,Coal,2015,kilotonnes,74.2505
Australia,Coal,2020,kilotonnes,98.5807
Austria,Coal,2010,kilotonnes,2.2251
Austria,Coal,2015,kilotonnes,2.4438
Austria,Coal,2020,kilotonnes,1.7138
Azerbaijan,Coal,2010,kilotonnes,3.552
Azerbaijan,Coal,2015,kilotonnes,0.5329
Azerbaijan,Coal,2020,NULL,NULL
Bahamas,Coal,2010,NULL,NULL
Bahamas,Coal,2015,NULL,NULL
Bahamas,Coal,2020,NULL,NULL
Bahrain,Coal,2010,NULL,NULL
Bahrain,Coal,2015,NULL,NULL
Bahrain,Coal,2020,NULL,NULL
Bangladesh,Coal,2010,kilotonnes,246.2309
Bangladesh,Coal,2015,kilotonnes,298.0721
Bangladesh,Coal,2020,kilotonnes,154.3917
Barbados,Coal,2010,NULL,NULL
Barbados,Coal,2015,NULL,NULL
Barbados,Coal,2020,NULL,NULL
Belarus,Coal,2010,kilotonnes,4.3071
Belarus,Coal,2015,kilotonnes,92.4587
Belarus,Coal,2020,kilotonnes,79.078
Belgium,Coal,2010,kilotonnes,48.8136
Belgium,Coal,2015,kilotonnes,31.7288
Belgium,Coal,2020,kilotonnes,31.7288
Belgium-Luxembourg,Coal,2010,NULL,NULL
Belgium-Luxembourg,Coal,2015,NULL,NULL
Belgium-Luxembourg,Coal,2020,NULL,NULL
Belize,Coal,2010,NULL,NULL
Belize,Coal,2015,NULL,NULL
Belize,Coal,2020,NULL,NULL
Benin,Coal,2010,NULL,NULL
Benin,Coal,2015,kilotonnes,9.1555
Benin,Coal,2020,kilotonnes,20.5648
Bermuda,Coal,2010,kilotonnes,0.0002
Bermuda,Coal,2015,kilotonnes,0.0019
Bermuda,Coal,2020,kilotonnes,0.0208
Bhutan,Coal,2010,kilotonnes,3.1902
Bhutan,Coal,2015,kilotonnes,2.9884
Bhutan,Coal,2020,kilotonnes,3.8564
Bolivia (Plurinational State of),Coal,2010,NULL,NULL
Bolivia (Plurinational State of),Coal,2015,kilotonnes,0.9503
Bolivia (Plurinational State of),Coal,2020,kilotonnes,1.3306
Bosnia and Herzegovina,Coal,2010,kilotonnes,3.4539
Bosnia and Herzegovina,Coal,2015,kilotonnes,2.3144
Bosnia and Herzegovina,Coal,2020,kilotonnes,10.8794
Botswana,Coal,2010,kilotonnes,24.4068
Botswana,Coal,2015,kilotonnes,24.4068
Botswana,Coal,2020,kilotonnes,24.4068
Brazil,Coal,2010,kilotonnes,987.0228
Brazil,Coal,2015,kilotonnes,1124.8493
Brazil,Coal,2020,kilotonnes,1052.5923
British Virgin Islands,Coal,2010,NULL,NULL
British Virgin Islands,Coal,2015,NULL,NULL
British Virgin Islands,Coal,2020,NULL,NULL
Brunei Darussalam,Coal,2010,NULL,NULL
Brunei Darussalam,Coal,2015,NULL,NULL
Brunei Darussalam,Coal,2020,NULL,NULL
Bulgaria,Coal,2010,kilotonnes,19.5254
Bulgaria,Coal,2015,kilotonnes,34.1695
Bulgaria,Coal,2020,kilotonnes,37.0983
Burkina Faso,Coal,2010,NULL,NULL
Burkina Faso,Coal,2015,NULL,NULL
Burkina Faso,Coal,2020,NULL,NULL
Burundi,Coal,2010,NULL,NULL
Burundi,Coal,2015,kilotonnes,0.0005
Burundi,Coal,2020,kilotonnes,0.0242
Cabo Verde,Coal,2010,NULL,NULL
Cabo Verde,Coal,2015,NULL,NULL
Cabo Verde,Coal,2020,NULL,NULL
Cambodia,Coal,2010,NULL,NULL
Cambodia,Coal,2015,NULL,NULL
Cambodia,Coal,2020,NULL,NULL
Cameroon,Coal,2010,kilotonnes,0.2147
Cameroon,Coal,2015,kilotonnes,0.2147
Cameroon,Coal,2020,kilotonnes,0.2147
Canada,Coal,2010,kilotonnes,13.6236
Canada,Coal,2015,kilotonnes,12.3573
Canada,Coal,2020,kilotonnes,10.1352
Cayman Islands,Coal,2010,NULL,NULL
Cayman Islands,Coal,2015,NULL,NULL
Cayman Islands,Coal,2020,NULL,NULL
Central African Republic,Coal,2010,NULL,NULL
Central African Republic,Coal,2015,NULL,NULL
Central African Republic,Coal,2020,NULL,NULL
Chad,Coal,2010,NULL,NULL
Chad,Coal,2015,NULL,NULL
Chad,Coal,2020,NULL,NULL
Channel Islands,Coal,2010,NULL,NULL
Channel Islands,Coal,2015,NULL,NULL
Channel Islands,Coal,2020,NULL,NULL
Chile,Coal,2010,kilotonnes,34.1695
Chile,Coal,2015,kilotonnes,13.017
Chile,Coal,2020,kilotonnes,8.461
China,Coal,2010,kilotonnes,52405.0118
China,Coal,2015,kilotonnes,64067.85
China,Coal,2020,kilotonnes,56612.4024
"China, Hong Kong SAR",Coal,2010,NULL,NULL
"China, Hong Kong SAR",Coal,2015,NULL,NULL
"China, Hong Kong SAR",Coal,2020,NULL,NULL
"China, Macao SAR",Coal,2010,NULL,NULL
"China, Macao SAR",Coal,2015,NULL,NULL
"China, Macao SAR",Coal,2020,NULL,NULL
"China, mainland",Coal,2010,kilotonnes,52405.0118
"China, mainland",Coal,2015,kilotonnes,64067.85
"China, mainland",Coal,2020,kilotonnes,56612.4024
"China, Taiwan Province of",Coal,2010,NULL,NULL
"China, Taiwan Province of",Coal,2015,NULL,NULL
"China, Taiwan Province of",Coal,2020,NULL,NULL
Colombia,Coal,2010,kilotonnes,124.8408
Colombia,Coal,2015,kilotonnes,2708.6075
Colombia,Coal,2020,kilotonnes,2904.2316
Comoros,Coal,2010,NULL,NULL
Comoros,Coal,2015,NULL,NULL
Comoros,Coal,2020,NULL,NULL
Congo,Coal,2010,NULL,NULL
Congo,Coal,2015,NULL,NULL
Congo,Coal,2020,NULL,NULL
Cook Islands,Coal,2010,NULL,NULL
Cook Islands,Coal,2015,NULL,NULL
Cook Islands,Coal,2020,NULL,NULL
Costa Rica,Coal,2010,kilotonnes,0.128
Costa Rica,Coal,2015,kilotonnes,0.1304
Costa Rica,Coal,2020,NULL,NULL
Côte d'Ivoire,Coal,2010,NULL,NULL
Côte d'Ivoire,Coal,2015,NULL,NULL
Côte d'Ivoire,Coal,2020,NULL,NULL
Croatia,Coal,2010,kilotonnes,29.668
Croatia,Coal,2015,kilotonnes,12.8121
Croatia,Coal,2020,kilotonnes,5.9853
Cuba,Coal,2010,kilotonnes,1.6318
Cuba,Coal,2015,kilotonnes,0.3004
Cuba,Coal,2020,kilotonnes,0.2082
Cyprus,Coal,2010,kilotonnes,30.7839
Cyprus,Coal,2015,kilotonnes,1.2789
Cyprus,Coal,2020,kilotonnes,0.1176
Czechia,Coal,2010,kilotonnes,9.7627
Czechia,Coal,2015,kilotonnes,9.7627
Czechia,Coal,2020,kilotonnes,3.9051
Czechoslovakia,Coal,2010,NULL,NULL
Czechoslovakia,Coal,2015,NULL,NULL
Czechoslovakia,Coal,2020,NULL,NULL
Democratic People's Republic of Korea,Coal,2010,kilotonnes,824.9254
Democratic People's Republic of Korea,Coal,2015,kilotonnes,332.7042
Democratic People's Republic of Korea,Coal,2020,kilotonnes,228.5052
Democratic Republic of the Congo,Coal,2010,kilotonnes,275.0843
Democratic Republic of the Congo,Coal,2015,kilotonnes,325.0795
Democratic Republic of the Congo,Coal,2020,kilotonnes,365.0756
Denmark,Coal,2010,kilotonnes,263.5934
Denmark,Coal,2015,kilotonnes,151.3222
Denmark,Coal,2020,kilotonnes,41.0034
Djibouti,Coal,2010,NULL,NULL
Djibouti,Coal,2015,NULL,NULL
Djibouti,Coal,2020,NULL,NULL
Dominica,Coal,2010,NULL,NULL
Dominica,Coal,2015,NULL,NULL
Dominica,Coal,2020,NULL,NULL
Dominican Republic,Coal,2010,NULL,NULL
Dominican Republic,Coal,2015,kilotonnes,15.1148
Dominican Republic,Coal,2020,kilotonnes,16.936
Ecuador,Coal,2010,NULL,NULL
Ecuador,Coal,2015,NULL,NULL
Ecuador,Coal,2020,NULL,NULL
Egypt,Coal,2010,NULL,NULL
Egypt,Coal,2015,NULL,NULL
Egypt,Coal,2020,NULL,NULL
El Salvador,Coal,2010,NULL,NULL
El Salvador,Coal,2015,NULL,NULL
El Salvador,Coal,2020,NULL,NULL
Equatorial Guinea,Coal,2010,NULL,NULL
