Area,Year,Unit,Coal,FuelOil,NaturalGas
Afghanistan,2010,kilotonnes,67.1909,NULL,3.3144
Afghanistan,2015,kilotonnes,30.7229,NULL,3.1678
Afghanistan,2020,kilotonnes,18.9033,NULL,5.0456
Albania,2010,NULL,NULL,10.9903,0.1173
Albania,2015,kilotonnes,20.4828,1.2266,1.7155
Albania,2020,kilotonnes,26.0232,1.3517,1.1414
Algeria,2010,NULL,NULL,0.0403,72.0885
Algeria,2015,NULL,NULL,NULL,103.3362
Algeria,2020,NULL,NULL,NULL,73.5247
American Samoa,2010,NULL,NULL,NULL,NULL
American Samoa,2015,NULL,NULL,NULL,NULL
American Samoa,2020,NULL,NULL,NULL,NULL
Andorra,2010,kilotonnes,0.0018,NULL,NULL
Andorra,2015,kilotonnes,0.0059,NULL,NULL
Andorra,2020,kilotonnes,0.0045,NULL,NULL
Angola,2010,NULL,NULL,48.2091,5.9941
Angola,2015,NULL,NULL,19.9302,10.606
Angola,2020,NULL,NULL,60.7859,8.8686
Anguilla,2010,NULL,NULL,NULL,NULL
Anguilla,2015,NULL,NULL,NULL,NULL
Anguilla,2020,NULL,NULL,NULL,NULL
Antigua and Barbuda,2010,NULL,NULL,NULL,NULL
Antigua and Barbuda,2015,NULL,NULL,NULL,NULL
Antigua and Barbuda,2020,NULL,NULL,NULL,NULL
Argentina,2010,kilotonnes,14.2809,450.2822,1070.4231
Argentina,2015,kilotonnes,11.0602,375.2352,935.7687
Argentina,2020,kilotonnes,23.3453,148.8433,884.5445
Armenia,2010,kilotonnes,1.6398,213.4803,97.317
Armenia,2015,kilotonnes,0.1226,278.4228,41.4861
Armenia,2020,NULL,NULL,330.3769,23.6491
Aruba,2010,NULL,NULL,NULL,NULL
Aruba,2015,NULL,NULL,NULL,NULL
Aruba,2020,NULL,NULL,NULL,NULL
Australia,2010,kilotonnes,174.3701,1863.4521,6.9003
Australia,2015,kilotonnes,74.2505,185.9832,74.5008
Australia,2020,kilotonnes,98.5807,NULL,62.4505
Austria,2010,kilotonnes,2.2251,25.0157,52.5096
Austria,2015,kilotonnes,2.4438,25.0157,38.3724
Austria,2020,kilotonnes,1.7138,NULL,61.3397
Azerbaijan,2010,kilotonnes,3.552,3.127,50.4002
Azerbaijan,2015,kilotonnes,0.5329,3.127,121.6136
Azerbaijan,2020,NULL,NULL,4.2527,193.0513
Bahamas,2010,NULL,NULL,25.0458,NULL
Bahamas,2015,NULL,NULL,31.3073,NULL
Bahamas,2020,NULL,NULL,23.7935,NULL
Bahrain,2010,NULL,NULL,NULL,29.4092
Bahrain,2015,NULL,NULL,NULL,29.0485
Bahrain,2020,NULL,NULL,NULL,17.1585
Bangladesh,2010,kilotonnes,246.2309,0.3463,49.368
Bangladesh,2015,kilotonnes,298.0721,0.7066,49.5363
Bangladesh,2020,kilotonnes,154.3917,0.8717,60.045
Barbados,2010,NULL,NULL,4.4872,0.0369
Barbados,2015,NULL,NULL,3.9053,0.0424
Barbados,2020,NULL,NULL,3.3419,0.0511
Belarus,2010,kilotonnes,4.3071,50.0314,192.8157
Belarus,2015,kilotonnes,92.4587,15.6348,207.2895
Belarus,2020,kilotonnes,79.078,25.1408,261.5943
Belgium,2010,kilotonnes,48.8136,25.0157,499.1778
Belgium,2015,kilotonnes,31.7288,3.127,563.7489
Belgium,2020,kilotonnes,31.7288,2.9638,766.2362
Belgium-Luxembourg,2010,NULL,NULL,NULL,NULL
Belgium-Luxembourg,2015,NULL,NULL,NULL,NULL
Belgium-Luxembourg,2020,NULL,NULL,NULL,NULL
Belize,2010,NULL,NULL,1.4404,NULL
Belize,2015,NULL,NULL,1.9213,NULL
Belize,2020,NULL,NULL,2.306,NULL
Benin,2010,NULL,NULL,20.4661,NULL
Benin,2015,kilotonnes,9.1555,5.1103,NULL
Benin,2020,kilotonnes,20.5648,3.2959,NULL
Bermuda,2010,kilotonnes,0.0002,0.9783,NULL
Bermuda,2015,kilotonnes,0.0019,1.0792,NULL
Bermuda,2020,kilotonnes,0.0208,1.2369,NULL
Bhutan,2010,kilotonnes,3.1902,NULL,NULL
Bhutan,2015,kilotonnes,2.9884,0.0674,NULL
Bhutan,2020,kilotonnes,3.8564,0.1009,NULL
Bolivia (Plurinational State of),2010,NULL,NULL,NULL,58.1758
Bolivia (Plurinational State of),2015,kilotonnes,0.9503,NULL,71.5527
Bolivia (Plurinational State of),2020,kilotonnes,1.3306,NULL,89.6951
Bosnia and Herzegovina,2010,kilotonnes,3.4539,35.4563,9.7779
Bosnia and Herzegovina,2015,kilotonnes,2.3144,6.491,8.3931
Bosnia and Herzegovina,2020,kilotonnes,10.8794,14.9853,9.0986
Botswana,2010,kilotonnes,24.4068,8.006,NULL
Botswana,2015,kilotonnes,24.4068,10.3372,NULL
Botswana,2020,kilotonnes,24.4068,16.2549,NULL
Brazil,2010,kilotonnes,987.0228,243.9029,5.6661
Brazil,2015,kilotonnes,1124.8493,43.7774,0.722
Brazil,2020,kilotonnes,1052.5923,33.7712,0.7063
