Area,Item,Year,Unit,Value
Afghanistan,Fuel oil,2010,NULL,NULL
Afghanistan,Fuel oil,2015,NULL,NULL
Afghanistan,Fuel oil,2020,NULL,NULL
Albania,Fuel oil,2010,kilotonnes,10.9903
Albania,Fuel oil,2015,kilotonnes,1.2266
Albania,Fuel oil,2020,kilotonnes,1.3517
Algeria,Fuel oil,2010,kilotonnes,0.0403
Algeria,Fuel oil,2015,NULL,NULL
Algeria,Fuel oil,2020,NULL,NULL
American Samoa,Fuel oil,2010,NULL,NULL
American Samoa,Fuel oil,2015,NULL,NULL
American Samoa,Fuel oil,2020,NULL,NULL
Andorra,Fuel oil,2010,NULL,NULL
Andorra,Fuel oil,2015,NULL,NULL
Andorra,Fuel oil,2020,NULL,NULL
Angola,Fuel oil,2010,kilotonnes,48.2091
Angola,Fuel oil,2015,kilotonnes,19.9302
Angola,Fuel oil,2020,kilotonnes,60.7859
Anguilla,Fuel oil,2010,NULL,NULL
Anguilla,Fuel oil,2015,NULL,NULL
Anguilla,Fuel oil,2020,NULL,NULL
Antigua and Barbuda,Fuel oil,2010,NULL,NULL
Antigua and Barbuda,Fuel oil,2015,NULL,NULL
Antigua and Barbuda,Fuel oil,2020,NULL,NULL
Argentina,Fuel oil,2010,kilotonnes,450.2822
Argentina,Fuel oil,2015,kilotonnes,375.2352
Argentina,Fuel oil,2020,kilotonnes,148.8433
Armenia,Fuel oil,2010,kilotonnes,213.4803
Armenia,Fuel oil,2015,kilotonnes,278.4228
Armenia,Fuel oil,2020,kilotonnes,330.3769
Aruba,Fuel oil,2010,NULL,NULL
Aruba,Fuel oil,2015,NULL,NULL
Aruba,Fuel oil,2020,NULL,NULL
Australia,Fuel oil,2010,kilotonnes,1863.4521
Australia,Fuel oil,2015,kilotonnes,185.9832
Australia,Fuel oil,2020,NULL,NULL
Austria,Fuel oil,2010,kilotonnes,25.0157
Austria,Fuel oil,2015,kilotonnes,25.0157
Austria,Fuel oil,2020,NULL,NULL
Azerbaijan,Fuel oil,2010,kilotonnes,3.127
Azerbaijan,Fuel oil,2015,kilotonnes,3.127
Azerbaijan,Fuel oil,2020,kilotonnes,4.2527
Bahamas,Fuel oil,2010,kilotonnes,25.0458
Bahamas,Fuel oil,2015,kilotonnes,31.3073
Bahamas,Fuel oil,2020,kilotonnes,23.7935
Bahrain,Fuel oil,2010,NULL,NULL
Bahrain,Fuel oil,2015,NULL,NULL
Bahrain,Fuel oil,2020,NULL,NULL
Bangladesh,Fuel oil,2010,kilotonnes,0.3463
Bangladesh,Fuel oil,2015,kilotonnes,0.7066
Bangladesh,Fuel oil,2020,kilotonnes,0.8717
Barbados,Fuel oil,2010,kilotonnes,4.4872
Barbados,Fuel oil,2015,kilotonnes,3.9053
Barbados,Fuel oil,2020,kilotonnes,3.3419
Belarus,Fuel oil,2010,kilotonnes,50.0314
Belarus,Fuel oil,2015,kilotonnes,15.6348
Belarus,Fuel oil,2020,kilotonnes,25.1408
Belgium,Fuel oil,2010,kilotonnes,25.0157
Belgium,Fuel oil,2015,kilotonnes,3.127
Belgium,Fuel oil,2020,kilotonnes,2.9638
Belgium-Luxembourg,Fuel oil,2010,NULL,NULL
Belgium-Luxembourg,Fuel oil,2015,NULL,NULL
Belgium-Luxembourg,Fuel oil,2020,NULL,NULL
Belize,Fuel oil,2010,kilotonnes,1.4404
Belize,Fuel oil,2015,kilotonnes,1.9213
Belize,Fuel oil,2020,kilotonnes,2.306
Benin,Fuel oil,2010,kilotonnes,20.4661
Benin,Fuel oil,2015,kilotonnes,5.1103
Benin,Fuel oil,2020,kilotonnes,3.2959
Bermuda,Fuel oil,2010,kilotonnes,0.9783
Bermuda,Fuel oil,2015,kilotonnes,1.0792
Bermuda,Fuel oil,2020,kilotonnes,1.2369
Bhutan,Fuel oil,2010,NULL,NULL
Bhutan,Fuel oil,2015,kilotonnes,0.0674
Bhutan,Fuel oil,2020,kilotonnes,0.1009
Bolivia (Plurinational State of),Fuel oil,2010,NULL,NULL
Bolivia (Plurinational State of),Fuel oil,2015,NULL,NULL
Bolivia (Plurinational State of),Fuel oil,2020,NULL,NULL
Bosnia and Herzegovina,Fuel oil,2010,kilotonnes,35.4563
Bosnia and Herzegovina,Fuel oil,2015,kilotonnes,6.491
Bosnia and Herzegovina,Fuel oil,2020,kilotonnes,14.9853
Botswana,Fuel oil,2010,kilotonnes,8.006
Botswana,Fuel oil,2015,kilotonnes,10.3372
Botswana,Fuel oil,2020,kilotonnes,16.2549
Brazil,Fuel oil,2010,kilotonnes,243.9029
Brazil,Fuel oil,2015,kilotonnes,43.7774
Brazil,Fuel oil,2020,kilotonnes,33.7712
British Virgin Islands,Fuel oil,2010,NULL,NULL
British Virgin Islands,Fuel oil,2015,NULL,NULL
British Virgin Islands,Fuel oil,2020,NULL,NULL
Brunei Darussalam,Fuel oil,2010,NULL,NULL
Brunei Darussalam,Fuel oil,2015,NULL,NULL
Brunei Darussalam,Fuel oil,2020,NULL,NULL
Bulgaria,Fuel oil,2010,kilotonnes,2.5657
Bulgaria,Fuel oil,2015,kilotonnes,1.3096
Bulgaria,Fuel oil,2020,kilotonnes,0.5185
Burkina Faso,Fuel oil,2010,kilotonnes,3.2746
Burkina Faso,Fuel oil,2015,kilotonnes,28.9653
Burkina Faso,Fuel oil,2020,kilotonnes,59.2301
Burundi,Fuel oil,2010,kilotonnes,0.4335
Burundi,Fuel oil,2015,kilotonnes,0.4133
Burundi,Fuel oil,2020,kilotonnes,0.4624
Cabo Verde,Fuel oil,2010,kilotonnes,2.7814
Cabo Verde,Fuel oil,2015,kilotonnes,3.1126
Cabo Verde,Fuel oil,2020,kilotonnes,3.3776
Cambodia,Fuel oil,2010,kilotonnes,4.4162
Cambodia,Fuel oil,2015,kilotonnes,3.9366
Cambodia,Fuel oil,2020,kilotonnes,3.6459
Cameroon,Fuel oil,2010,kilotonnes,40.4775
Cameroon,Fuel oil,2015,kilotonnes,18.9082
Cameroon,Fuel oil,2020,kilotonnes,20.0124
Canada,Fuel oil,2010,kilotonnes,684.8042
Canada,Fuel oil,2015,kilotonnes,675.4234
Canada,Fuel oil,2020,kilotonnes,520.3261
Cayman Islands,Fuel oil,2010,NULL,NULL
Cayman Islands,Fuel oil,2015,NULL,NULL
Cayman Islands,Fuel oil,2020,NULL,NULL
Central African Republic,Fuel oil,2010,kilotonnes,1.1123
Central African Republic,Fuel oil,2015,kilotonnes,0.8332
Central African Republic,Fuel oil,2020,kilotonnes,1.079
Chad,Fuel oil,2010,NULL,NULL
Chad,Fuel oil,2015,kilotonnes,2.1236
Chad,Fuel oil,2020,kilotonnes,3.3366
Channel Islands,Fuel oil,2010,kilotonnes,1.5314
Channel Islands,Fuel oil,2015,NULL,NULL
Channel Islands,Fuel oil,2020,NULL,NULL
Chile,Fuel oil,2010,kilotonnes,378.3622
Chile,Fuel oil,2015,kilotonnes,171.9828
Chile,Fuel oil,2020,kilotonnes,418.3872
China,Fuel oil,2010,kilotonnes,52.6178
China,Fuel oil,2015,kilotonnes,60.2064
China,Fuel oil,2020,kilotonnes,80.9078
"China, Hong Kong SAR",Fuel oil,2010,kilotonnes,17.9536
"China, Hong Kong SAR",Fuel oil,2015,kilotonnes,30.65
"China, Hong Kong SAR",Fuel oil,2020,kilotonnes,40.8071
"China, Macao SAR",Fuel oil,2010,kilotonnes,0.2676
"China, Macao SAR",Fuel oil,2015,kilotonnes,0.163
"China, Macao SAR",Fuel oil,2020,kilotonnes,0.0131
"China, mainland",Fuel oil,2010,kilotonnes,34.3966
"China, mainland",Fuel oil,2015,kilotonnes,29.3934
"China, mainland",Fuel oil,2020,kilotonnes,40.0876
"China, Taiwan Province of",Fuel oil,2010,NULL,NULL
"China, Taiwan Province of",Fuel oil,2015,NULL,NULL
"China, Taiwan Province of",Fuel oil,2020,NULL,NULL
Colombia,Fuel oil,2010,kilotonnes,14.7147
Colombia,Fuel oil,2015,kilotonnes,6.1479
Colombia,Fuel oil,2020,kilotonnes,49.0986
Comoros,Fuel oil,2010,NULL,NULL
Comoros,Fuel oil,2015,NULL,NULL
Comoros,Fuel oil,2020,NULL,NULL
Congo,Fuel oil,2010,kilotonnes,4.548
Congo,Fuel oil,2015,kilotonnes,8.1765
Congo,Fuel oil,2020,kilotonnes,15.4273
Cook Islands,Fuel oil,2010,kilotonnes,3.1051
Cook Islands,Fuel oil,2015,kilotonnes,1.0881
Cook Islands,Fuel oil,2020,kilotonnes,0.0838
Costa Rica,Fuel oil,2010,kilotonnes,0.5214
Costa Rica,Fuel oil,2015,kilotonnes,0.3921
Costa Rica,Fuel oil,2020,kilotonnes,0.3932
Côte d'Ivoire,Fuel oil,2010,kilotonnes,21.3757
Côte d'Ivoire,Fuel oil,2015,kilotonnes,14.8199
Côte d'Ivoire,Fuel oil,2020,kilotonnes,9.1424
Croatia,Fuel oil,2010,kilotonnes,12.5078
Croatia,Fuel oil,2015,kilotonnes,6.2539
Croatia,Fuel oil,2020,kilotonnes,1.1257
Cuba,Fuel oil,2010,kilotonnes,2409.9141
Cuba,Fuel oil,2015,kilotonnes,1435.5364
Cuba,Fuel oil,2020,kilotonnes,2142.1539
Cyprus,Fuel oil,2010,kilotonnes,13.2277
Cyprus,Fuel oil,2015,kilotonnes,7.6755
Cyprus,Fuel oil,2020,kilotonnes,10.6164
Czechia,Fuel oil,2010,kilotonnes,12.5078
Czechia,Fuel oil,2015,kilotonnes,9.3809
Czechia,Fuel oil,2020,kilotonnes,3.127
Czechoslovakia,Fuel oil,2010,NULL,NULL
Czechoslovakia,Fuel oil,2015,NULL,NULL
Czechoslovakia,Fuel oil,2020,NULL,NULL
Democratic People's Republic of Korea,Fuel oil,2010,kilotonnes,3.5558
Democratic People's Republic of Korea,Fuel oil,2015,kilotonnes,3.7898
Democratic People's Republic of Korea,Fuel oil,2020,kilotonnes,3.611
Democratic Republic of the Congo,Fuel oil,2010,kilotonnes,20.0113
Democratic Republic of the Congo,Fuel oil,2015,kilotonnes,8.1765
Democratic Republic of the Congo,Fuel oil,2020,kilotonnes,6.6622
Denmark,Fuel oil,2010,kilotonnes,87.5549
Denmark,Fuel oil,2015,kilotonnes,9.3809
Denmark,Fuel oil,2020,kilotonnes,5.6285
Djibouti,Fuel oil,2010,NULL,NULL
Djibouti,Fuel oil,2015,NULL,NULL
Djibouti,Fuel oil,2020,NULL,NULL
Dominica,Fuel oil,2010,kilotonnes,1.7077
Dominica,Fuel oil,2015,kilotonnes,1.7077
Dominica,Fuel oil,2020,kilotonnes,1.4556
Dominican Republic,Fuel oil,2010,kilotonnes,150.1725
Dominican Republic,Fuel oil,2015,kilotonnes,13.4906
Dominican Republic,Fuel oil,2020,kilotonnes,23.3336
Ecuador,Fuel oil,2010,kilotonnes,279.7851
Ecuador,Fuel oil,2015,kilotonnes,310.1761
Ecuador,Fuel oil,2020,kilotonnes,149.1253
Egypt,Fuel oil,2010,kilotonnes,375.2352
Egypt,Fuel oil,2015,kilotonnes,243.9029
Egypt,Fuel oil,2020,kilotonnes,161.9765
El Salvador,Fuel oil,2010,kilotonnes,12.4435
El Salvador,Fuel oil,2015,kilotonnes,3.049
El Salvador,Fuel oil,2020,kilotonnes,2.2457
Equatorial Guinea,Fuel oil,2010,NULL,NULL
Equatorial Guinea,Fuel oil,2015,NULL,NULL
Equatorial Guinea,Fuel oil,2020,NULL,NULL
Eritrea,Fuel oil,2010,kilotonnes,1.9345
Eritrea,Fuel oil,2015,kilotonnes,1.6906
Eritrea,Fuel oil,2020,kilotonnes,2.3051
Estonia,Fuel oil,2010,kilotonnes,3.127
Estonia,Fuel oil,2015,kilotonnes,12.5078
Estonia,Fuel oil,2020,kilotonnes,6.8793
Eswatini,Fuel oil,2010,kilotonnes,2.8466
Eswatini,Fuel oil,2015,kilotonnes,1.4096
Eswatini,Fuel oil,2020,kilotonnes,0.1318
Ethiopia,Fuel oil,2010,kilotonnes,30.9525
Ethiopia,Fuel oil,2015,kilotonnes,18.878
Ethiopia,Fuel oil,2020,kilotonnes,12.3938
Ethiopia PDR,Fuel oil,2010,NULL,NULL
Ethiopia PDR,Fuel oil,2015,NULL,NULL
Ethiopia PDR,Fuel oil,2020,NULL,NULL
Falkland Islands (Malvinas),Fuel oil,2010,NULL,NULL
Falkland Islands (Malvinas),Fuel oil,2015,NULL,NULL
Falkland Islands (Malvinas),Fuel oil,2020,NULL,NULL
Faroe Islands,Fuel oil,2010,kilotonnes,46.3572
Faroe Islands,Fuel oil,2015,kilotonnes,65.7975
Faroe Islands,Fuel oil,2020,kilotonnes,58.426
Fiji,Fuel oil,2010,kilotonnes,10.2387
Fiji,Fuel oil,2015,kilotonnes,4.4877
Fiji,Fuel oil,2020,kilotonnes,1.9269
Finland,Fuel oil,2010,kilotonnes,100.0627
Finland,Fuel oil,2015,kilotonnes,25.0157
Finland,Fuel oil,2020,kilotonnes,27.5172
France,Fuel oil,2010,kilotonnes,125.0784
France,Fuel oil,2015,kilotonnes,62.5392
France,Fuel oil,2020,kilotonnes,50.0314
French Guyana,Fuel oil,2010,NULL,NULL
French Guyana,Fuel oil,2015,NULL,NULL
French Guyana,Fuel oil,2020,NULL,NULL
French Polynesia,Fuel oil,2010,kilotonnes,58.597
French Polynesia,Fuel oil,2015,kilotonnes,88.0212
French Polynesia,Fuel oil,2020,kilotonnes,111.5605
Gabon,Fuel oil,2010,kilotonnes,22.7402
Gabon,Fuel oil,2015,kilotonnes,34.2391
Gabon,Fuel oil,2020,kilotonnes,87.0841
Gambia,Fuel oil,2010,kilotonnes,10.1593
Gambia,Fuel oil,2015,kilotonnes,19.1227
Gambia,Fuel oil,2020,kilotonnes,25.6619
Georgia,Fuel oil,2010,kilotonnes,13.8976
Georgia,Fuel oil,2015,kilotonnes,0.5096
Georgia,Fuel oil,2020,kilotonnes,0.1649
Germany,Fuel oil,2010,kilotonnes,788.3544
Germany,Fuel oil,2015,kilotonnes,761.3824
Germany,Fuel oil,2020,kilotonnes,391.2197
Ghana,Fuel oil,2010,kilotonnes,14.0534
Ghana,Fuel oil,2015,kilotonnes,6.8478
Ghana,Fuel oil,2020,kilotonnes,9.3198
Gibraltar,Fuel oil,2010,NULL,NULL
Gibraltar,Fuel oil,2015,NULL,NULL
Gibraltar,Fuel oil,2020,NULL,NULL
Greece,Fuel oil,2010,kilotonnes,45.8621
Greece,Fuel oil,2015,kilotonnes,12.5078
Greece,Fuel oil,2020,kilotonnes,9.3809
Greenland,Fuel oil,2010,kilotonnes,2.7468
Greenland,Fuel oil,2015,kilotonnes,24.5335
Greenland,Fuel oil,2020,kilotonnes,28.7074
Grenada,Fuel oil,2010,NULL,NULL
Grenada,Fuel oil,2015,NULL,NULL
Grenada,Fuel oil,2020,NULL,NULL
Guadeloupe,Fuel oil,2010,kilotonnes,92.2142
Guadeloupe,Fuel oil,2015,kilotonnes,43.7164
Guadeloupe,Fuel oil,2020,kilotonnes,51.8449
Guam,Fuel oil,2010,NULL,NULL
Guam,Fuel oil,2015,NULL,NULL
Guam,Fuel oil,2020,NULL,NULL
Guatemala,Fuel oil,2010,kilotonnes,9.4605
Guatemala,Fuel oil,2015,kilotonnes,17.0935
Guatemala,Fuel oil,2020,kilotonnes,12.3628
Guinea,Fuel oil,2010,kilotonnes,158.979
Guinea,Fuel oil,2015,kilotonnes,15.6149
Guinea,Fuel oil,2020,kilotonnes,187.8607
Guinea-Bissau,Fuel oil,2010,kilotonnes,15.6088
Guinea-Bissau,Fuel oil,2015,kilotonnes,19.9246
Guinea-Bissau,Fuel oil,2020,kilotonnes,28.1153
Guyana,Fuel oil,2010,kilotonnes,8.0776
Guyana,Fuel oil,2015,kilotonnes,6.1711
Guyana,Fuel oil,2020,kilotonnes,5.7459
Haiti,Fuel oil,2010,kilotonnes,3.4153
Haiti,Fuel oil,2015,kilotonnes,17.0767
Haiti,Fuel oil,2020,kilotonnes,17.0767
Holy See,Fuel oil,2010,NULL,NULL
Holy See,Fuel oil,2015,NULL,NULL
Holy See,Fuel oil,2020,NULL,NULL
Honduras,Fuel oil,2010,kilotonnes,7.8174
Honduras,Fuel oil,2015,kilotonnes,5.0707
Honduras,Fuel oil,2020,kilotonnes,3.9552
Hungary,Fuel oil,2010,kilotonnes,6.2539
Hungary,Fuel oil,2015,kilotonnes,3.127
Hungary,Fuel oil,2020,kilotonnes,3.5439
Iceland,Fuel oil,2010,kilotonnes,168.8558
Iceland,Fuel oil,2015,kilotonnes,190.7446
Iceland,Fuel oil,2020,kilotonnes,105.0659
India,Fuel oil,2010,kilotonnes,1719.828
India,Fuel oil,2015,kilotonnes,594.1224
India,Fuel oil,2020,kilotonnes,211.3825
Indonesia,Fuel oil,2010,kilotonnes,543.9763
Indonesia,Fuel oil,2015,kilotonnes,500.371
Indonesia,Fuel oil,2020,kilotonnes,549.645
Iran (Islamic Republic of),Fuel oil,2010,kilotonnes,23.7566
Iran (Islamic Republic of),Fuel oil,2015,kilotonnes,23.7566
Iran (Islamic Republic of),Fuel oil,2020,kilotonnes,14.6044
Iraq,Fuel oil,2010,kilotonnes,826.8708
Iraq,Fuel oil,2015,kilotonnes,65.0881
Iraq,Fuel oil,2020,kilotonnes,87.0562
Ireland,Fuel oil,2010,kilotonnes,11.9467
