Country,HDI,GNI
Switzerland,0.962,"66,933"
Norway,0.961,"64,660"
Iceland,0.959,"55,782"
"Hong Kong, China (SAR)",0.952,"62,607"
Australia,0.951,"49,238"
Denmark,0.948,"60,365"
Sweden,0.947,"54,489"
Ireland,0.945,"76,169"
Germany,0.942,"54,534"
Netherlands,0.941,"55,979"
Finland,0.940,"49,452"
Singapore,0.939,"90,919"
Belgium,0.937,"52,293"
New Zealand,0.937,"44,057"
Canada,0.936,"46,808"
Liechtenstein,0.935,"146,830"
Luxembourg,0.930,"84,649"
United Kingdom,0.929,"45,225"
Japan,0.925,"42,274"
Korea,0.925,"44,501"
United States,0.921,"64,765"
Israel,0.919,"41,524"
Malta,0.918,"38,884"
Slovenia,0.918,"39,746"
Austria,0.916,"53,619"
United Arab Emirates,0.911,"62,574"
Spain,0.905,"38,354"
France,0.903,"45,937"
Cyprus,0.896,"38,188"
Italy,0.895,"42,840"
Estonia,0.890,"38,048"
Czechia,0.889,"38,745"
Greece,0.887,"29,002"
Poland,0.876,"33,034"
Bahrain,0.875,"39,497"
Lithuania,0.875,"37,931"
Saudi Arabia,0.875,"46,112"
Portugal,0.866,"33,155"
Latvia,0.863,"32,803"
Andorra,0.858,"51,167"
Croatia,0.858,"30,132"
Chile,0.855,"24,563"
Qatar,0.855,"87,134"
San Marino,0.853,"52,654"
Slovakia,0.848,"30,690"
Hungary,0.846,"32,789"
Argentina,0.842,"20,925"
Türkiye,0.838,"31,033"
Montenegro,0.832,"20,839"
Kuwait,0.831,"52,920"
Brunei Darussalam,0.829,"64,490"
Russian Federation,0.822,"27,166"
Romania,0.821,"30,027"
Oman,0.816,"27,054"
Bahamas,0.812,"30,486"
Kazakhstan,0.811,"23,943"
Trinidad and Tobago,0.810,"23,392"
Costa Rica,0.809,"19,974"
Uruguay,0.809,"21,269"
Belarus,0.808,"18,849"
Panama,0.805,"26,957"
Malaysia,0.803,"26,658"
Georgia,0.802,"14,664"
Mauritius,0.802,"22,025"
Serbia,0.802,"19,123"
Thailand,0.800,"17,030"
Albania,0.796,"14,131"
Bulgaria,0.795,"23,079"
Grenada,0.795,"13,484"
Barbados,0.790,"12,306"
Antigua and Barbuda,0.788,"16,792"
Seychelles,0.785,"25,831"
Sri Lanka,0.782,"12,578"
Bosnia and Herzegovina,0.780,"15,242"
Saint Kitts and Nevis,0.777,"23,358"
Iran,0.774,"13,001"
Ukraine,0.773,"13,256"
North Macedonia,0.770,"15,918"
China,0.768,"17,504"
Dominican Republic,0.767,"17,990"
Moldova,0.767,"14,875"
Palau,0.767,"13,819"
Cuba,0.764,"7,879"
Peru,0.762,"12,246"
Armenia,0.759,"13,158"
Mexico,0.758,"17,896"
Brazil,0.754,"14,370"
Colombia,0.752,"14,384"
Saint Vincent and the Grenadines,0.751,"11,961"
Maldives,0.747,"15,448"
Algeria,0.745,"10,800"
Azerbaijan,0.745,"14,257"
Tonga,0.745,"6,822"
Turkmenistan,0.745,"13,021"
Ecuador,0.740,"10,312"
Mongolia,0.739,"10,588"
Egypt,0.731,"11,732"
Tunisia,0.731,"10,258"
Fiji,0.730,"9,980"
Suriname,0.730,"12,672"
Uzbekistan,0.727,"7,917"
Dominica,0.720,"11,488"
Jordan,0.720,"9,924"
Libya,0.718,"15,336"
Paraguay,0.717,"12,349"
"Palestine, State of",0.715,"6,583"
Saint Lucia,0.715,"12,048"
Guyana,0.714,"22,465"
South Africa,0.713,"12,948"
Jamaica,0.709,"8,834"
Samoa,0.707,"5,308"
Gabon,0.706,"13,367"
Lebanon,0.706,"9,526"
Indonesia,0.705,"11,466"
Viet Nam,0.703,"7,867"
Philippines,0.699,"8,920"
Botswana,0.693,"16,198"
