Country,Land,Water
China,9388211,1165.0
India,2973190,1689.0
United States,9147420,3794.0
Indonesia,1811570,2332.0
Pakistan,770880,2929.0
Brazil,8358140,844.0
Nigeria,910770,216.0
Bangladesh,130170,681.0
Russia,16376870,1311.0
Mexico,1943950,1923.0
Japan,364555,1736.0
Ethiopia,1000000,279.0
Philippines,298170,2250.0
Egypt,995450,2202.0
Vietnam,310070,2681.0
DR Congo,2267050,34.0
Turkey,769630,2023.0
Iran,1628550,3707.0
Germany,348560,855.0
Thailand,510890,2372.0
United Kingdom,241930,348.0
France,547557,1244.0
Italy,294140,1546.0
Tanzania,885800,402.0
South Africa,1213090,791.0
Myanmar,653290,1949.0
Kenya,569140,225.0
South Korea,97230,1643.0
Colombia,1109500,729.0
Spain,498800,1924.0
Uganda,199810,57.0
Argentina,2736690,2505.0
Algeria,2381740,674.0
Sudan,1765048,2087.0
Ukraine,579320,604.0
Iraq,434320,2885.0
Afghanistan,652860,2674.0
Poland,306230,763.0
Canada,9093510,2717.0
Morocco,446300,883.0
Saudi Arabia,2149690,1933.0
Uzbekistan,425400,4754.0
Peru,1280000,1310.0
Angola,1246700,100.0
Malaysia,328550,1194.0
Mozambique,786380,149.0
Ghana,227540,140.0
Yemen,527970,486.0
Nepal,143350,998.0
Venezuela,882050,2275.0
Madagascar,581795,1968.0
Cameroon,472710,171.0
Côte dIvoire,318000,141.0
North Korea,120410,992.0
Australia,7682300,1821.0
Niger,1266700,230.0
Taiwan,35410,
Sri Lanka,62710,1815.0
Burkina Faso,273600,167.0
Mali,1220190,1076.0
Romania,230170,882.0
Malawi,94280,294.0
Chile,743532,5935.0
Kazakhstan,2699700,3499.0
Zambia,743390,393.0
Guatemala,107160,680.0
Ecuador,248360,1965.0
Syria,183630,2501.0
Netherlands,33720,1447.0
Senegal,192530,592.0
Cambodia,176520,444.0
Chad,1259200,239.0
Somalia,627340,921.0
Zimbabwe,386850,798.0
Guinea,245720,180.0
Rwanda,24670,52.0
Benin,112760,50.0
Burundi,25680,124.0
Tunisia,155360,1168.0
Bolivia,1083300,579.0
Belgium,30280,1515.0
Haiti,27560,405.0
Cuba,106440,1690.0
South Sudan,610952,183.0
Dominican Republic,48320,2022.0
Czech Republic (Czechia),77240,422.0
Greece,128900,2373.0
Jordan,88780,299.0
Portugal,91590,2371.0
Azerbaijan,82658,3556.0
Sweden,410340,785.0
Honduras,111890,620.0
United Arab Emirates,83600,2387.0
Hungary,90530,1403.0
Tajikistan,139960,4547.0
Belarus,202910,421.0
Austria,82409,1138.0
Papua New Guinea,452860,165.0
Serbia,87460,1457.0
Israel,21640,837.0
Switzerland,39516,686.0
Togo,54390,89.0
Sierra Leone,72180,103.0
Hong Kong,1050,
Laos,230800,1664.0
Paraguay,397300,1030.0
Bulgaria,108560,2142.0
Libya,1759540,2541.0
Lebanon,10230,772.0
Nicaragua,120340,717.0
Kyrgyzstan,191800,4281.0
El Salvador,20720,959.0
Turkmenistan,469930,16281.0
Singapore,700,
Denmark,42430,318.0
Finland,303890,3407.0
Congo,341500,38.0
Slovakia,48088,269.0
Norway,365268,1757.0
Oman,309500,1517.0
State of Palestine,6020,215.0
Costa Rica,51060,1805.0
Liberia,96320,126.0
Ireland,68890,461.0
Central African Republic,622980,49.0
New Zealand,263310,3261.0
Mauritania,1030700,1223.0
Panama,74340,822.0
Kuwait,17820,1171.0
Croatia,55960,406.0
Moldova,32850,706.0
Georgia,69490,1206.0
Eritrea,101000,586.0
Uruguay,175020,3021.0
Bosnia and Herzegovina,51000,254.0
Mongolia,1553560,414.0
Armenia,28470,2649.0
Jamaica,10830,1276.0
Qatar,11610,1406.0
Albania,27400,1173.0
Puerto Rico,8870,3178.0
Lithuania,62674,2665.0
Namibia,823290,426.0
Gambia,10120,188.0
Botswana,566730,255.0
Gabon,257670,274.0
Lesotho,30360,59.0
North Macedonia,25220,731.0
Slovenia,20140,1172.0
Guinea-Bissau,28120,399.0
Latvia,62200,311.0
Bahrain,760,835.0
Equatorial Guinea,28050,79.0
Trinidad and Tobago,5130,786.0
Estonia,42390,3580.0
Timor-Leste,14870,3304.0
Mauritius,2030,1643.0
Cyprus,9240,742.0
Eswatini,17200,2839.0
Djibouti,23180,73.0
Fiji,18270,283.0
Réunion,2500,
Comoros,1861,52.0
Guyana,196850,5283.0
Bhutan,38117,1379.0
Solomon Islands,27990,
Macao,30,
Montenegro,13450,706.0
Luxembourg,2590,208.0
Western Sahara,266000,
Suriname,156000,3339.0
Cabo Verde,4030,138.0
Micronesia,700,
Maldives,300,47.0
Malta,320,395.0
Brunei,5270,
Guadeloupe,1690,
Belize,22810,1119.0
Bahamas,10010,
Martinique,1060,
Iceland,100250,2309.0
Vanuatu,12190,
French Guiana,82200,
Barbados,430,803.0
New Caledonia,18280,
French Polynesia,3660,
Mayotte,375,
Sao Tome & Principe,960,551.0
Samoa,2830,
Saint Lucia,610,701.0
Channel Islands,190,
Guam,540,
Curaçao,444,
Kiribati,810,
Grenada,340,355.0
St. Vincent & Grenadines,390,214.0
Aruba,180,
Tonga,720,
U.S. Virgin Islands,350,
Seychelles,460,423.0
Antigua and Barbuda,440,348.0
Isle of Man,570,
Andorra,470,
Dominica,750,773.0
Cayman Islands,240,
Bermuda,50,
Marshall Islands,180,
Northern Mariana Islands,460,
Greenland,410450,
American Samoa,200,
Saint Kitts & Nevis,260,857.0
Faeroe Islands,1396,
Sint Maarten,34,
Monaco,1,389.0
Turks and Caicos,950,
Saint Martin,53,
Liechtenstein,160,
San Marino,60,
Gibraltar,10,
British Virgin Islands,150,
Caribbean Netherlands,328,
Palau,460,
Cook Islands,240,
Anguilla,90,
Tuvalu,30,
Wallis & Futuna,140,
Nauru,20,
Saint Barthelemy,21,
Saint Helena,390,
Saint Pierre & Miquelon,230,
Montserrat,100,
Falkland Islands,12170,
Niue,260,
Tokelau,10,
Holy See,0,
