Area,Item,Year,Unit,Value
Afghanistan,Natural gas (including LNG),2010,kilotonnes,3.3144
Afghanistan,Natural gas (including LNG),2015,kilotonnes,3.1678
Afghanistan,Natural gas (including LNG),2020,kilotonnes,5.0456
Albania,Natural gas (including LNG),2010,kilotonnes,0.1173
Albania,Natural gas (including LNG),2015,kilotonnes,1.7155
Albania,Natural gas (including LNG),2020,kilotonnes,1.1414
Algeria,Natural gas (including LNG),2010,kilotonnes,72.0885
Algeria,Natural gas (including LNG),2015,kilotonnes,103.3362
Algeria,Natural gas (including LNG),2020,kilotonnes,73.5247
American Samoa,Natural gas (including LNG),2010,NULL,NULL
American Samoa,Natural gas (including LNG),2015,NULL,NULL
American Samoa,Natural gas (including LNG),2020,NULL,NULL
Andorra,Natural gas (including LNG),2010,NULL,NULL
Andorra,Natural gas (including LNG),2015,NULL,NULL
Andorra,Natural gas (including LNG),2020,NULL,NULL
Angola,Natural gas (including LNG),2010,kilotonnes,5.9941
Angola,Natural gas (including LNG),2015,kilotonnes,10.606
Angola,Natural gas (including LNG),2020,kilotonnes,8.8686
Anguilla,Natural gas (including LNG),2010,NULL,NULL
Anguilla,Natural gas (including LNG),2015,NULL,NULL
Anguilla,Natural gas (including LNG),2020,NULL,NULL
Antigua and Barbuda,Natural gas (including LNG),2010,NULL,NULL
Antigua and Barbuda,Natural gas (including LNG),2015,NULL,NULL
Antigua and Barbuda,Natural gas (including LNG),2020,NULL,NULL
Argentina,Natural gas (including LNG),2010,kilotonnes,1070.4231
Argentina,Natural gas (including LNG),2015,kilotonnes,935.7687
Argentina,Natural gas (including LNG),2020,kilotonnes,884.5445
Armenia,Natural gas (including LNG),2010,kilotonnes,97.317
Armenia,Natural gas (including LNG),2015,kilotonnes,41.4861
Armenia,Natural gas (including LNG),2020,kilotonnes,23.6491
Aruba,Natural gas (including LNG),2010,NULL,NULL
Aruba,Natural gas (including LNG),2015,NULL,NULL
Aruba,Natural gas (including LNG),2020,NULL,NULL
Australia,Natural gas (including LNG),2010,kilotonnes,6.9003
Australia,Natural gas (including LNG),2015,kilotonnes,74.5008
Australia,Natural gas (including LNG),2020,kilotonnes,62.4505
Austria,Natural gas (including LNG),2010,kilotonnes,52.5096
Austria,Natural gas (including LNG),2015,kilotonnes,38.3724
Austria,Natural gas (including LNG),2020,kilotonnes,61.3397
Azerbaijan,Natural gas (including LNG),2010,kilotonnes,50.4002
Azerbaijan,Natural gas (including LNG),2015,kilotonnes,121.6136
Azerbaijan,Natural gas (including LNG),2020,kilotonnes,193.0513
Bahamas,Natural gas (including LNG),2010,NULL,NULL
Bahamas,Natural gas (including LNG),2015,NULL,NULL
Bahamas,Natural gas (including LNG),2020,NULL,NULL
Bahrain,Natural gas (including LNG),2010,kilotonnes,29.4092
Bahrain,Natural gas (including LNG),2015,kilotonnes,29.0485
Bahrain,Natural gas (including LNG),2020,kilotonnes,17.1585
Bangladesh,Natural gas (including LNG),2010,kilotonnes,49.368
Bangladesh,Natural gas (including LNG),2015,kilotonnes,49.5363
Bangladesh,Natural gas (including LNG),2020,kilotonnes,60.045
Barbados,Natural gas (including LNG),2010,kilotonnes,0.0369
Barbados,Natural gas (including LNG),2015,kilotonnes,0.0424
Barbados,Natural gas (including LNG),2020,kilotonnes,0.0511
Belarus,Natural gas (including LNG),2010,kilotonnes,192.8157
Belarus,Natural gas (including LNG),2015,kilotonnes,207.2895
Belarus,Natural gas (including LNG),2020,kilotonnes,261.5943
Belgium,Natural gas (including LNG),2010,kilotonnes,499.1778
Belgium,Natural gas (including LNG),2015,kilotonnes,563.7489
Belgium,Natural gas (including LNG),2020,kilotonnes,766.2362
Belgium-Luxembourg,Natural gas (including LNG),2010,NULL,NULL
Belgium-Luxembourg,Natural gas (including LNG),2015,NULL,NULL
Belgium-Luxembourg,Natural gas (including LNG),2020,NULL,NULL
Belize,Natural gas (including LNG),2010,NULL,NULL
Belize,Natural gas (including LNG),2015,NULL,NULL
Belize,Natural gas (including LNG),2020,NULL,NULL
Benin,Natural gas (including LNG),2010,NULL,NULL
Benin,Natural gas (including LNG),2015,NULL,NULL
Benin,Natural gas (including LNG),2020,NULL,NULL
Bermuda,Natural gas (including LNG),2010,NULL,NULL
Bermuda,Natural gas (including LNG),2015,NULL,NULL
Bermuda,Natural gas (including LNG),2020,NULL,NULL
Bhutan,Natural gas (including LNG),2010,NULL,NULL
Bhutan,Natural gas (including LNG),2015,NULL,NULL
Bhutan,Natural gas (including LNG),2020,NULL,NULL
Bolivia (Plurinational State of),Natural gas (including LNG),2010,kilotonnes,58.1758
Bolivia (Plurinational State of),Natural gas (including LNG),2015,kilotonnes,71.5527
Bolivia (Plurinational State of),Natural gas (including LNG),2020,kilotonnes,89.6951
Bosnia and Herzegovina,Natural gas (including LNG),2010,kilotonnes,9.7779
Bosnia and Herzegovina,Natural gas (including LNG),2015,kilotonnes,8.3931
Bosnia and Herzegovina,Natural gas (including LNG),2020,kilotonnes,9.0986
Botswana,Natural gas (including LNG),2010,NULL,NULL
Botswana,Natural gas (including LNG),2015,NULL,NULL
Botswana,Natural gas (including LNG),2020,NULL,NULL
Brazil,Natural gas (including LNG),2010,kilotonnes,5.6661
Brazil,Natural gas (including LNG),2015,kilotonnes,0.722
Brazil,Natural gas (including LNG),2020,kilotonnes,0.7063
British Virgin Islands,Natural gas (including LNG),2010,NULL,NULL
British Virgin Islands,Natural gas (including LNG),2015,NULL,NULL
British Virgin Islands,Natural gas (including LNG),2020,NULL,NULL
Brunei Darussalam,Natural gas (including LNG),2010,kilotonnes,0.8802
Brunei Darussalam,Natural gas (including LNG),2015,kilotonnes,0.32
Brunei Darussalam,Natural gas (including LNG),2020,kilotonnes,14.1129
Bulgaria,Natural gas (including LNG),2010,kilotonnes,63.954
Bulgaria,Natural gas (including LNG),2015,kilotonnes,40.4481
Bulgaria,Natural gas (including LNG),2020,kilotonnes,33.7385
Burkina Faso,Natural gas (including LNG),2010,NULL,NULL
Burkina Faso,Natural gas (including LNG),2015,NULL,NULL
Burkina Faso,Natural gas (including LNG),2020,NULL,NULL
Burundi,Natural gas (including LNG),2010,NULL,NULL
Burundi,Natural gas (including LNG),2015,NULL,NULL
Burundi,Natural gas (including LNG),2020,NULL,NULL
Cabo Verde,Natural gas (including LNG),2010,NULL,NULL
Cabo Verde,Natural gas (including LNG),2015,NULL,NULL
Cabo Verde,Natural gas (including LNG),2020,NULL,NULL
Cambodia,Natural gas (including LNG),2010,NULL,NULL
Cambodia,Natural gas (including LNG),2015,NULL,NULL
Cambodia,Natural gas (including LNG),2020,NULL,NULL
Cameroon,Natural gas (including LNG),2010,NULL,NULL
Cameroon,Natural gas (including LNG),2015,NULL,NULL
Cameroon,Natural gas (including LNG),2020,NULL,NULL
Canada,Natural gas (including LNG),2010,kilotonnes,1481.7693
Canada,Natural gas (including LNG),2015,kilotonnes,2194.9125
Canada,Natural gas (including LNG),2020,kilotonnes,2463.7661
Cayman Islands,Natural gas (including LNG),2010,NULL,NULL
Cayman Islands,Natural gas (including LNG),2015,NULL,NULL
Cayman Islands,Natural gas (including LNG),2020,NULL,NULL
Central African Republic,Natural gas (including LNG),2010,NULL,NULL
Central African Republic,Natural gas (including LNG),2015,NULL,NULL
Central African Republic,Natural gas (including LNG),2020,NULL,NULL
Chad,Natural gas (including LNG),2010,NULL,NULL
Chad,Natural gas (including LNG),2015,NULL,NULL
Chad,Natural gas (including LNG),2020,NULL,NULL
Channel Islands,Natural gas (including LNG),2010,NULL,NULL
Channel Islands,Natural gas (including LNG),2015,NULL,NULL
Channel Islands,Natural gas (including LNG),2020,NULL,NULL
Chile,Natural gas (including LNG),2010,kilotonnes,5.4978
Chile,Natural gas (including LNG),2015,kilotonnes,10.2102
Chile,Natural gas (including LNG),2020,kilotonnes,93.0755
China,Natural gas (including LNG),2010,kilotonnes,105.3464
China,Natural gas (including LNG),2015,kilotonnes,198.8292
China,Natural gas (including LNG),2020,kilotonnes,296.7845
"China, Hong Kong SAR",Natural gas (including LNG),2010,kilotonnes,0.8321
"China, Hong Kong SAR",Natural gas (including LNG),2015,kilotonnes,0.4864
"China, Hong Kong SAR",Natural gas (including LNG),2020,kilotonnes,0.5361
"China, Macao SAR",Natural gas (including LNG),2010,NULL,NULL
"China, Macao SAR",Natural gas (including LNG),2015,kilotonnes,0.0013
"China, Macao SAR",Natural gas (including LNG),2020,kilotonnes,0.0168
"China, mainland",Natural gas (including LNG),2010,kilotonnes,104.5143
"China, mainland",Natural gas (including LNG),2015,kilotonnes,198.3416
"China, mainland",Natural gas (including LNG),2020,kilotonnes,296.2316
"China, Taiwan Province of",Natural gas (including LNG),2010,NULL,NULL
"China, Taiwan Province of",Natural gas (including LNG),2015,NULL,NULL
"China, Taiwan Province of",Natural gas (including LNG),2020,NULL,NULL
Colombia,Natural gas (including LNG),2010,kilotonnes,510.1734
Colombia,Natural gas (including LNG),2015,kilotonnes,591.9401
Colombia,Natural gas (including LNG),2020,kilotonnes,655.9545
Comoros,Natural gas (including LNG),2010,NULL,NULL
Comoros,Natural gas (including LNG),2015,NULL,NULL
Comoros,Natural gas (including LNG),2020,NULL,NULL
Congo,Natural gas (including LNG),2010,NULL,NULL
Congo,Natural gas (including LNG),2015,NULL,NULL
Congo,Natural gas (including LNG),2020,NULL,NULL
Cook Islands,Natural gas (including LNG),2010,NULL,NULL
Cook Islands,Natural gas (including LNG),2015,NULL,NULL
Cook Islands,Natural gas (including LNG),2020,NULL,NULL
Costa Rica,Natural gas (including LNG),2010,NULL,NULL
Costa Rica,Natural gas (including LNG),2015,NULL,NULL
Costa Rica,Natural gas (including LNG),2020,NULL,NULL
Côte d'Ivoire,Natural gas (including LNG),2010,kilotonnes,1.8483
Côte d'Ivoire,Natural gas (including LNG),2015,kilotonnes,4.2167
Côte d'Ivoire,Natural gas (including LNG),2020,kilotonnes,4.3389
Croatia,Natural gas (including LNG),2010,kilotonnes,47.0679
Croatia,Natural gas (including LNG),2015,kilotonnes,46.1703
Croatia,Natural gas (including LNG),2020,kilotonnes,51.4998
Cuba,Natural gas (including LNG),2010,kilotonnes,2.6111
Cuba,Natural gas (including LNG),2015,kilotonnes,2.1282
Cuba,Natural gas (including LNG),2020,kilotonnes,2.0646
Cyprus,Natural gas (including LNG),2010,NULL,NULL
Cyprus,Natural gas (including LNG),2015,NULL,NULL
Cyprus,Natural gas (including LNG),2020,NULL,NULL
Czechia,Natural gas (including LNG),2010,kilotonnes,166.7292
Czechia,Natural gas (including LNG),2015,kilotonnes,129.3105
Czechia,Natural gas (including LNG),2020,kilotonnes,135.5264
Czechoslovakia,Natural gas (including LNG),2010,NULL,NULL
