Area,Year,Unit,Value
Afghanistan,2010,°C,1.646
Afghanistan,2015,°C,1.101
Afghanistan,2020,°C,0.544
Albania,2010,°C,1.274
Albania,2015,°C,1.665
Albania,2020,°C,1.623
Algeria,2010,°C,2.249
Algeria,2015,°C,1.101
Algeria,2020,°C,1.913
American Samoa,2010,°C,1.047
American Samoa,2015,°C,0.394
American Samoa,2020,°C,0.815
Andorra,2010,°C,0.411
Andorra,2015,°C,1.546
Andorra,2020,°C,2.401
Angola,2010,°C,1.303
Angola,2015,°C,1.43
Angola,2020,°C,1.387
Anguilla,2010,°C,1.107
Anguilla,2015,°C,1.07
Anguilla,2020,°C,1.246
Antarctica,2010,°C,0.84
Antarctica,2015,°C,-0.023
Antarctica,2020,°C,0.798
Antigua and Barbuda,2010,°C,1.147
Antigua and Barbuda,2015,°C,1.032
Antigua and Barbuda,2020,°C,1.141
Argentina,2010,°C,0.102
Argentina,2015,°C,0.953
Argentina,2020,°C,1.109
Armenia,2010,°C,2.805
Armenia,2015,°C,1.921
Armenia,2020,°C,1.966
Aruba,2010,°C,1.25
Aruba,2015,°C,1.604
Aruba,2020,°C,1.479
Australia,2010,°C,0.624
Australia,2015,°C,1.062
Australia,2020,°C,1.404
Austria,2010,°C,0.662
Austria,2015,°C,2.183
Austria,2020,°C,2.32
Azerbaijan,2010,°C,2.356
Azerbaijan,2015,°C,1.667
Azerbaijan,2020,°C,2.038
Bahamas,2010,°C,0.399
Bahamas,2015,°C,1.23
Bahamas,2020,°C,1.693
Bahrain,2010,°C,1.993
Bahrain,2015,°C,2.212
Bahrain,2020,°C,1.982
Bangladesh,2010,°C,0.849
Bangladesh,2015,°C,0.699
Bangladesh,2020,°C,0.915
Barbados,2010,°C,1.091
Barbados,2015,°C,0.983
Barbados,2020,°C,1.033
Belarus,2010,°C,1.434
Belarus,2015,°C,2.211
Belarus,2020,°C,3.476
Belgium,2010,°C,0.215
Belgium,2015,°C,1.35
Belgium,2020,°C,2.528
Belgium-Luxembourg,2010,NULL,NULL
Belgium-Luxembourg,2015,NULL,NULL
Belgium-Luxembourg,2020,NULL,NULL
Belize,2010,°C,0.711
Belize,2015,°C,1.385
Belize,2020,°C,1.511
Benin,2010,°C,1.349
Benin,2015,°C,1.317
Benin,2020,°C,1.236
Bhutan,2010,°C,1.137
Bhutan,2015,°C,0.88
Bhutan,2020,°C,0.966
Bolivia (Plurinational State of),2010,°C,0.51
Bolivia (Plurinational State of),2015,°C,1.286
Bolivia (Plurinational State of),2020,°C,1.167
Bosnia and Herzegovina,2010,°C,1.026
Bosnia and Herzegovina,2015,°C,1.867
Bosnia and Herzegovina,2020,°C,1.942
Botswana,2010,°C,1.173
Botswana,2015,°C,1.949
Botswana,2020,°C,0.85
Brazil,2010,°C,1.099
Brazil,2015,°C,1.587
Brazil,2020,°C,1.483
British Virgin Islands,2010,°C,1.067
British Virgin Islands,2015,°C,1.107
British Virgin Islands,2020,°C,1.351
Brunei Darussalam,2010,°C,0.755
Brunei Darussalam,2015,°C,1.102
Brunei Darussalam,2020,°C,1.367
Bulgaria,2010,°C,1.335
Bulgaria,2015,°C,1.458
Bulgaria,2020,°C,2.182
Burkina Faso,2010,°C,1.347
Burkina Faso,2015,°C,1.231
Burkina Faso,2020,°C,1.194
Burundi,2010,°C,NULL
Burundi,2015,°C,NULL
Burundi,2020,°C,NULL
Cabo Verde,2010,°C,NULL
Cabo Verde,2015,°C,1.424
Cabo Verde,2020,°C,2.178
Cambodia,2010,°C,1.212
Cambodia,2015,°C,1.108
Cambodia,2020,°C,1.365
Cameroon,2010,°C,1.251
Cameroon,2015,°C,1.125
Cameroon,2020,°C,1.006
Canada,2010,°C,2.928
Canada,2015,°C,1.222
Canada,2020,°C,1.139
Cayman Islands,2010,°C,0.65
Cayman Islands,2015,°C,1.008
